"index","processId","threadId","parentProcessId","userId","mountNamespace","argsNum","returnValue","sus_label"
"0","381","7337","1","100","4026532231","5","0","1"
"1","381","7337","1","100","4026532231","1","0","1"
"2","381","7337","1","100","4026532231","0","0","1"
"3","7347","7347","7341","0","4026531840","2","-2","1"
"4","7347","7347","7341","0","4026531840","4","0","1"
"5","7347","7347","7341","0","4026531840","4","3","1"
"6","7347","7347","7341","0","4026531840","2","0","1"
"7","7347","7347","7341","0","4026531840","1","0","1"
"8","7347","7347","7341","0","4026531840","4","0","1"
"9","7347","7347","7341","0","4026531840","4","3","1"
"10","7347","7347","7341","0","4026531840","2","0","1"
"11","7347","7347","7341","0","4026531840","1","0","1"
"12","7347","7347","7341","0","4026531840","2","-2","1"
"13","7347","7347","7341","0","4026531840","2","-2","1"
"14","7347","7347","7341","0","4026531840","2","-2","1"
"15","7347","7347","7341","0","4026531840","2","0","1"
"16","7347","7347","7341","0","4026531840","5","7348","1"
"17","7348","7348","7347","0","4026531840","2","0","1"
"18","7348","7348","7347","0","4026531840","3","0","1"
"19","7348","7348","7347","0","4026531840","2","-2","1"
"20","7348","7348","7347","0","4026531840","4","0","1"
"21","7348","7348","7347","0","4026531840","4","3","1"
"22","7348","7348","7347","0","4026531840","2","0","1"
"23","7348","7348","7347","0","4026531840","1","0","1"
"24","7348","7348","7347","0","4026531840","4","0","1"
"25","7348","7348","7347","0","4026531840","4","3","1"
"26","7348","7348","7347","0","4026531840","2","0","1"
"27","7348","7348","7347","0","4026531840","1","0","1"
"28","7348","7348","7347","0","4026531840","4","0","1"
"29","7348","7348","7347","0","4026531840","4","3","1"
"30","7348","7348","7347","0","4026531840","2","0","1"
"31","7348","7348","7347","0","4026531840","3","80","1"
"32","7348","7348","7347","0","4026531840","3","0","1"
"33","7348","7348","7347","0","4026531840","1","0","1"
"34","7348","7348","7347","0","4026531840","0","0","1"
"35","7347","7347","7341","0","4026531840","0","0","1"
"36","381","7423","1","100","4026532231","5","0","1"
"37","381","7423","1","100","4026532231","1","0","1"
"38","381","7423","1","100","4026532231","0","0","1"
"39","508","508","1","0","4026531840","2","0","1"
"40","7340","7340","7334","0","4026531840","2","-2","1"
"41","7340","7340","7334","0","4026531840","4","0","1"
"42","7340","7340","7334","0","4026531840","4","3","1"
"43","7340","7340","7334","0","4026531840","2","0","1"
"44","7340","7340","7334","0","4026531840","1","0","1"
